param1_alpha1,param2_alpha2,param3_alpha3,custo_total,maior_autovalor_abs
1.0,0.20000000000000018,-0.6,16.14031898112894,0.9491860870865353
1.0,0.20000000000000018,-0.3999999999999999,16.140323208735186,0.9491860870865353
1.0,0.20000000000000018,-0.19999999999999996,16.140327377081352,0.9491860870865353
1.0,0.20000000000000018,0.0,16.140331485827623,0.9491860870865353
1.0,0.20000000000000018,0.20000000000000018,16.140335534636403,0.9491860870865353
1.0,0.20000000000000018,0.40000000000000013,16.140339523172347,0.9491860870865353
1.0,0.20000000000000018,0.6000000000000001,16.140343451102286,0.9491860870865353
1.0,0.20000000000000018,0.8,16.14034731809534,0.9491860870865353
1.0,0.20000000000000018,1.0,16.140351123822892,0.9491860870865353
0.8,-0.6,-1.0,16.14045511056615,0.9491860870865353
0.8,-0.6,-0.8,16.140460325406945,0.9491860870865353
0.8,-0.6,-0.6,16.140465482576904,0.9491860870865353
0.8,-0.6,-0.3999999999999999,16.140470581716553,0.9491860870865353
0.8,-0.6,-0.19999999999999996,16.14047562246868,0.9491860870865353
0.8,-0.6,0.0,16.140480604478068,0.9491860870865353
0.8,-0.6,0.20000000000000018,16.140485527391714,0.9491860870865353
0.8,-0.6,0.40000000000000013,16.14049039085879,0.9491860870865353
0.8,-0.6,0.6000000000000001,16.140495194530654,0.9491860870865353
0.8,-0.6,0.8,16.140499938060877,0.9491860870865353
0.8,-0.6,1.0,16.140504621105286,0.9491860870865353
1.0,0.40000000000000013,-1.0,16.140751233627178,0.9491860870865353
1.0,0.40000000000000013,-0.8,16.140755486196987,0.9491860870865353
1.0,0.40000000000000013,-0.6,16.140759679920855,0.9491860870865353
1.0,0.40000000000000013,-0.3999999999999999,16.140763814456836,0.9491860870865353
1.0,0.40000000000000013,-0.19999999999999996,16.140767889465145,0.9491860870865353
1.0,0.40000000000000013,0.0,16.140771904608076,0.9491860870865353
1.0,0.40000000000000013,0.20000000000000018,16.14077585955025,0.9491860870865353
1.0,0.40000000000000013,0.40000000000000013,16.140779753958384,0.9491860870865353
1.0,0.40000000000000013,0.6000000000000001,16.140783587501506,0.9491860870865353
1.0,0.40000000000000013,0.8,16.140787359850894,0.9491860870865353
1.0,0.40000000000000013,1.0,16.140791070680105,0.9491860870865353
0.8,-0.3999999999999999,-1.0,16.140889760895405,0.9491860870865353
0.8,-0.3999999999999999,-0.8,16.140894885010347,0.9491860870865353
0.8,-0.3999999999999999,-0.6,16.140899951180558,0.9491860870865353
0.8,-0.3999999999999999,-0.3999999999999999,16.140904959048665,0.9491860870865353
0.8,-0.3999999999999999,-0.19999999999999996,16.140909908259598,0.9491860870865353
0.8,-0.3999999999999999,0.0,16.14091479846025,0.9491860870865353
0.8,-0.3999999999999999,0.20000000000000018,16.14091962929979,0.9491860870865353
0.8,-0.3999999999999999,0.40000000000000013,16.14092440042948,0.9491860870865353
0.8,-0.3999999999999999,0.6000000000000001,16.140929111502878,0.9491860870865353
0.8,-0.3999999999999999,0.8,16.140933762175663,0.9491860870865353
0.8,-0.3999999999999999,1.0,16.140938352105863,0.9491860870865353
1.0,0.6000000000000001,-1.0,16.14119366561589,0.9491860870865353
1.0,0.6000000000000001,-0.8,16.14119782542869,0.9491860870865353
1.0,0.6000000000000001,-0.6,16.141201926124292,0.9491860870865353
1.0,0.6000000000000001,-0.3999999999999999,16.14120596736274,0.9491860870865353
